"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,15,"AUS","Australia",1,"Ashmore and Cartier Islands",1,"n.a.1","Unknown","Unknown",NA,NA
2,15,"AUS","Australia",2,"Australian Capital Territory",2,"Acton","Unknown","Unknown",NA,NA
3,15,"AUS","Australia",2,"Australian Capital Territory",3,"Ainslie","Unknown","Unknown",NA,NA
4,15,"AUS","Australia",2,"Australian Capital Territory",4,"Amaroo","Unknown","Unknown",NA,NA
5,15,"AUS","Australia",2,"Australian Capital Territory",5,"Aranda","Unknown","Unknown",NA,NA
6,15,"AUS","Australia",2,"Australian Capital Territory",6,"Banks","Unknown","Unknown",NA,NA
7,15,"AUS","Australia",2,"Australian Capital Territory",7,"Barton","Unknown","Unknown",NA,NA
8,15,"AUS","Australia",2,"Australian Capital Territory",8,"Belconnen - SSD Bal","Unknown","Unknown",NA,NA
9,15,"AUS","Australia",2,"Australian Capital Territory",9,"Belconnen Town Centre","Unknown","Unknown",NA,NA
10,15,"AUS","Australia",2,"Australian Capital Territory",10,"Bonython","Unknown","Unknown",NA,NA
11,15,"AUS","Australia",2,"Australian Capital Territory",11,"Braddon","Unknown","Unknown",NA,NA
12,15,"AUS","Australia",2,"Australian Capital Territory",12,"Bruce","Unknown","Unknown",NA,NA
13,15,"AUS","Australia",2,"Australian Capital Territory",13,"Calwell","Unknown","Unknown",NA,NA
14,15,"AUS","Australia",2,"Australian Capital Territory",14,"Campbell","Unknown","Unknown",NA,NA
15,15,"AUS","Australia",2,"Australian Capital Territory",15,"Chapman","Unknown","Unknown",NA,NA
16,15,"AUS","Australia",2,"Australian Capital Territory",16,"Charnwood","Unknown","Unknown",NA,NA
17,15,"AUS","Australia",2,"Australian Capital Territory",17,"Chifley","Unknown","Unknown",NA,NA
18,15,"AUS","Australia",2,"Australian Capital Territory",18,"Chisholm","Unknown","Unknown",NA,NA
19,15,"AUS","Australia",2,"Australian Capital Territory",19,"City","Unknown","Unknown",NA,NA
20,15,"AUS","Australia",2,"Australian Capital Territory",20,"Conder","Unknown","Unknown",NA,NA
21,15,"AUS","Australia",2,"Australian Capital Territory",21,"Cook","Unknown","Unknown",NA,NA
22,15,"AUS","Australia",2,"Australian Capital Territory",22,"Curtin","Unknown","Unknown",NA,NA
23,15,"AUS","Australia",2,"Australian Capital Territory",23,"Deakin","Unknown","Unknown",NA,NA
24,15,"AUS","Australia",2,"Australian Capital Territory",24,"Dickson","Unknown","Unknown",NA,NA
25,15,"AUS","Australia",2,"Australian Capital Territory",25,"Downer","Unknown","Unknown",NA,NA
26,15,"AUS","Australia",2,"Australian Capital Territory",26,"Duffy","Unknown","Unknown",NA,NA
27,15,"AUS","Australia",2,"Australian Capital Territory",27,"Dunlop","Unknown","Unknown",NA,NA
28,15,"AUS","Australia",2,"Australian Capital Territory",28,"Duntroon","Unknown","Unknown",NA,NA
29,15,"AUS","Australia",2,"Australian Capital Territory",29,"Evatt","Unknown","Unknown",NA,NA
30,15,"AUS","Australia",2,"Australian Capital Territory",30,"Fadden","Unknown","Unknown",NA,NA
31,15,"AUS","Australia",2,"Australian Capital Territory",31,"Farrer","Unknown","Unknown",NA,NA
32,15,"AUS","Australia",2,"Australian Capital Territory",32,"Fisher","Unknown","Unknown",NA,NA
33,15,"AUS","Australia",2,"Australian Capital Territory",33,"Florey","Unknown","Unknown",NA,NA
34,15,"AUS","Australia",2,"Australian Capital Territory",34,"Flynn","Unknown","Unknown",NA,NA
35,15,"AUS","Australia",2,"Australian Capital Territory",35,"Forrest","Unknown","Unknown",NA,NA
36,15,"AUS","Australia",2,"Australian Capital Territory",36,"Fraser","Unknown","Unknown",NA,NA
37,15,"AUS","Australia",2,"Australian Capital Territory",37,"Fyshwick","Unknown","Unknown",NA,NA
38,15,"AUS","Australia",2,"Australian Capital Territory",38,"Garran","Unknown","Unknown",NA,NA
39,15,"AUS","Australia",2,"Australian Capital Territory",39,"Gilmore","Unknown","Unknown",NA,NA
40,15,"AUS","Australia",2,"Australian Capital Territory",40,"Giralang","Unknown","Unknown",NA,NA
41,15,"AUS","Australia",2,"Australian Capital Territory",41,"Gordon","Unknown","Unknown",NA,NA
42,15,"AUS","Australia",2,"Australian Capital Territory",42,"Gowrie","Unknown","Unknown",NA,NA
43,15,"AUS","Australia",2,"Australian Capital Territory",43,"Greenway","Unknown","Unknown",NA,NA
44,15,"AUS","Australia",2,"Australian Capital Territory",44,"Griffith","Unknown","Unknown",NA,NA
45,15,"AUS","Australia",2,"Australian Capital Territory",45,"Gungahlin-Hall - SSD Bal","Unknown","Unknown",NA,NA
46,15,"AUS","Australia",2,"Australian Capital Territory",46,"Gungahlin","Unknown","Unknown",NA,NA
47,15,"AUS","Australia",2,"Australian Capital Territory",47,"Hackett","Unknown","Unknown",NA,NA
48,15,"AUS","Australia",2,"Australian Capital Territory",48,"Hall","Unknown","Unknown",NA,NA
49,15,"AUS","Australia",2,"Australian Capital Territory",49,"Harman","Unknown","Unknown",NA,NA
50,15,"AUS","Australia",2,"Australian Capital Territory",50,"Harrison","Unknown","Unknown",NA,NA
51,15,"AUS","Australia",2,"Australian Capital Territory",51,"Hawker","Unknown","Unknown",NA,NA
52,15,"AUS","Australia",2,"Australian Capital Territory",52,"Higgins","Unknown","Unknown",NA,NA
53,15,"AUS","Australia",2,"Australian Capital Territory",53,"Holder","Unknown","Unknown",NA,NA
54,15,"AUS","Australia",2,"Australian Capital Territory",54,"Holt","Unknown","Unknown",NA,NA
55,15,"AUS","Australia",2,"Australian Capital Territory",55,"Hughes","Unknown","Unknown",NA,NA
56,15,"AUS","Australia",2,"Australian Capital Territory",56,"Hume","Unknown","Unknown",NA,NA
57,15,"AUS","Australia",2,"Australian Capital Territory",57,"Isaacs","Unknown","Unknown",NA,NA
58,15,"AUS","Australia",2,"Australian Capital Territory",58,"Isabella Plains","Unknown","Unknown",NA,NA
59,15,"AUS","Australia",2,"Australian Capital Territory",59,"Jerrabomberra","Unknown","Unknown",NA,NA
60,15,"AUS","Australia",2,"Australian Capital Territory",60,"Kaleen","Unknown","Unknown",NA,NA
61,15,"AUS","Australia",2,"Australian Capital Territory",61,"Kambah","Unknown","Unknown",NA,NA
62,15,"AUS","Australia",2,"Australian Capital Territory",62,"Kingston","Unknown","Unknown",NA,NA
63,15,"AUS","Australia",2,"Australian Capital Territory",63,"Kowen","Unknown","Unknown",NA,NA
64,15,"AUS","Australia",2,"Australian Capital Territory",64,"Latham","Unknown","Unknown",NA,NA
65,15,"AUS","Australia",2,"Australian Capital Territory",65,"Lyneham","Unknown","Unknown",NA,NA
66,15,"AUS","Australia",2,"Australian Capital Territory",66,"Lyons","Unknown","Unknown",NA,NA
67,15,"AUS","Australia",2,"Australian Capital Territory",67,"Macarthur","Unknown","Unknown",NA,NA
68,15,"AUS","Australia",2,"Australian Capital Territory",68,"Macgregor","Unknown","Unknown",NA,NA
69,15,"AUS","Australia",2,"Australian Capital Territory",69,"Macquarie","Unknown","Unknown",NA,NA
70,15,"AUS","Australia",2,"Australian Capital Territory",70,"Majura","Unknown","Unknown",NA,NA
71,15,"AUS","Australia",2,"Australian Capital Territory",71,"Mawson","Unknown","Unknown",NA,NA
72,15,"AUS","Australia",2,"Australian Capital Territory",72,"McKellar","Unknown","Unknown",NA,NA
73,15,"AUS","Australia",2,"Australian Capital Territory",73,"Melba","Unknown","Unknown",NA,NA
74,15,"AUS","Australia",2,"Australian Capital Territory",74,"Mitchell","Unknown","Unknown",NA,NA
75,15,"AUS","Australia",2,"Australian Capital Territory",75,"Monash","Unknown","Unknown",NA,NA
76,15,"AUS","Australia",2,"Australian Capital Territory",76,"Narrabundah","Unknown","Unknown",NA,NA
77,15,"AUS","Australia",2,"Australian Capital Territory",77,"Ngunnawal","Unknown","Unknown",NA,NA
78,15,"AUS","Australia",2,"Australian Capital Territory",78,"Nicholls","Unknown","Unknown",NA,NA
79,15,"AUS","Australia",2,"Australian Capital Territory",79,"O'Connor","Unknown","Unknown",NA,NA
80,15,"AUS","Australia",2,"Australian Capital Territory",80,"O'Malley","Unknown","Unknown",NA,NA
81,15,"AUS","Australia",2,"Australian Capital Territory",81,"Oaks Estate","Unknown","Unknown",NA,NA
82,15,"AUS","Australia",2,"Australian Capital Territory",82,"Oxley","Unknown","Unknown",NA,NA
83,15,"AUS","Australia",2,"Australian Capital Territory",83,"Page","Unknown","Unknown",NA,NA
84,15,"AUS","Australia",2,"Australian Capital Territory",84,"Palmerston","Unknown","Unknown",NA,NA
85,15,"AUS","Australia",2,"Australian Capital Territory",85,"Parkes","Unknown","Unknown",NA,NA
86,15,"AUS","Australia",2,"Australian Capital Territory",86,"Pearce","Unknown","Unknown",NA,NA
87,15,"AUS","Australia",2,"Australian Capital Territory",87,"Phillip","Unknown","Unknown",NA,NA
88,15,"AUS","Australia",2,"Australian Capital Territory",88,"Pialligo","Unknown","Unknown",NA,NA
89,15,"AUS","Australia",2,"Australian Capital Territory",89,"Red Hill","Unknown","Unknown",NA,NA
90,15,"AUS","Australia",2,"Australian Capital Territory",90,"Reid","Unknown","Unknown",NA,NA
91,15,"AUS","Australia",2,"Australian Capital Territory",91,"Remainder of ACT","Unknown","Unknown",NA,NA
92,15,"AUS","Australia",2,"Australian Capital Territory",92,"Richardson","Unknown","Unknown",NA,NA
93,15,"AUS","Australia",2,"Australian Capital Territory",93,"Rivett","Unknown","Unknown",NA,NA
94,15,"AUS","Australia",2,"Australian Capital Territory",94,"Russell","Unknown","Unknown",NA,NA
95,15,"AUS","Australia",2,"Australian Capital Territory",95,"Scullin","Unknown","Unknown",NA,NA
96,15,"AUS","Australia",2,"Australian Capital Territory",96,"Spence","Unknown","Unknown",NA,NA
97,15,"AUS","Australia",2,"Australian Capital Territory",97,"Stirling","Unknown","Unknown",NA,NA
98,15,"AUS","Australia",2,"Australian Capital Territory",98,"Stromlo","Unknown","Unknown",NA,NA
99,15,"AUS","Australia",2,"Australian Capital Territory",99,"Symonston","Unknown","Unknown",NA,NA
100,15,"AUS","Australia",2,"Australian Capital Territory",100,"Theodore","Unknown","Unknown",NA,NA
101,15,"AUS","Australia",2,"Australian Capital Territory",101,"Torrens","Unknown","Unknown",NA,NA
102,15,"AUS","Australia",2,"Australian Capital Territory",102,"Tuggeranong - SSD Bal","Unknown","Unknown",NA,NA
103,15,"AUS","Australia",2,"Australian Capital Territory",103,"Turner","Unknown","Unknown",NA,NA
104,15,"AUS","Australia",2,"Australian Capital Territory",104,"Wanniassa","Unknown","Unknown",NA,NA
105,15,"AUS","Australia",2,"Australian Capital Territory",105,"Waramanga","Unknown","Unknown",NA,NA
106,15,"AUS","Australia",2,"Australian Capital Territory",106,"Watson","Unknown","Unknown",NA,NA
107,15,"AUS","Australia",2,"Australian Capital Territory",107,"Weetangera","Unknown","Unknown",NA,NA
108,15,"AUS","Australia",2,"Australian Capital Territory",108,"Weston Creek-Stromlo - SSD Bal","Unknown","Unknown",NA,NA
109,15,"AUS","Australia",2,"Australian Capital Territory",109,"Weston","Unknown","Unknown",NA,NA
110,15,"AUS","Australia",2,"Australian Capital Territory",110,"Yarralumla","Unknown","Unknown",NA,NA
111,15,"AUS","Australia",3,"Coral Sea Islands",111,"n.a.2","Unknown","Unknown",NA,NA
112,15,"AUS","Australia",4,"Jervis Bay Territory",112,"Jervis Bay","Unknown","Unknown",NA,NA
113,15,"AUS","Australia",5,"New South Wales",113,"Albury","City","City",NA,NA
114,15,"AUS","Australia",5,"New South Wales",114,"Armidale Dumaresq Bal","Shire","Shire",NA,NA
115,15,"AUS","Australia",5,"New South Wales",115,"Armidale Dumaresq","Shire","Shire",NA,NA
116,15,"AUS","Australia",5,"New South Wales",116,"Ashfield","Municipality/Municipal Council","Municipality/Municipal Council",NA,NA
117,15,"AUS","Australia",5,"New South Wales",117,"Auburn","Shire","Shire",NA,NA
118,15,"AUS","Australia",5,"New South Wales",118,"Ballina","Shire","Shire",NA,NA
119,15,"AUS","Australia",5,"New South Wales",119,"Balranald","Shire","Shire",NA,NA
120,15,"AUS","Australia",5,"New South Wales",120,"Bankstown - North-East","City","City",NA,NA
121,15,"AUS","Australia",5,"New South Wales",121,"Bankstown  - North-West","City","City",NA,NA
122,15,"AUS","Australia",5,"New South Wales",122,"Bankstown  - South","City","City",NA,NA
123,15,"AUS","Australia",5,"New South Wales",123,"Bathurst Regional - Pt A","Aboriginal Council","Aboriginal Council",NA,NA
124,15,"AUS","Australia",5,"New South Wales",124,"Bathurst Regional - Pt B","Aboriginal Council","Aboriginal Council",NA,NA
125,15,"AUS","Australia",5,"New South Wales",125,"Baulkham Hills - Central","Aboriginal Council","Aboriginal Council",NA,NA
